"PracticeID","parentid","year","areaid","indic","numerator","denominator","ratio","centile","description","flavour","active","fit","lwr","upr"
"W00007","270",2007,"AF 1","AF1","19",2085,"0.00911271","0.278","The practice can produce a register of patient with atrial fibrillation","1",1,0.0149017077011735,0.014351512550478,0.015451902851869
"W00007","270",2008,"AF 1","AF1","21",2620,"0.00801527","0.212315","The practice can produce a register of patient with atrial fibrillation","1",1,0.0156130403861807,0.015139575230113,0.0160865055422484
"W00007","270",2009,"AF 1","AF1","29",3103,"0.00934579","0.255459","The practice can produce a register of patient with atrial fibrillation","1",1,0.0163243730711877,0.015920189246281,0.0167285568960944
"W00007","270",2010,"AF 1","AF1","35",3471,"0.0100835","0.280308","The practice can produce a register of patient with atrial fibrillation","1",1,0.017035705756195,0.0166888619371845,0.0173825495752054
"W00007","861",2011,"AF 1","AF1","39",3584,"0.010881696428571","0.30619768832204","The practice can produce a register of patient with atrial fibrillation","1",1,0.017747038441202,0.0174388542991394,0.0180552225832645
"W00007","861",2012,"AF 1","AF1","100",6446,"0.015513496742166","0.56656221570808","The practice can produce a register of patient with atrial fibrillation","1",1,0.0184583711262092,0.0181627445776459,0.0187539976747725
"W00007","861",2013,"AF 1","AF1","109",6206,"0.017563648082501","0.66715282841963","The practice can produce a register of patient with atrial fibrillation","1",1,0.0191697038112164,0.0188573684030802,0.0194820392193526
"W00065","268",2010,"AF 1","AF1","44",2296,"0.0191638","0.85068","The practice can produce a register of patient with atrial fibrillation","1",1,0.017035705756195,0.0166888619371845,0.0173825495752054
"W00065","861",2011,"AF 1","AF1","41",2274,"0.018029903254178","0.76444798724591","The practice can produce a register of patient with atrial fibrillation","1",1,0.017747038441202,0.0174388542991394,0.0180552225832645
"W00065","861",2012,"AF 1","AF1","40",2243,"0.017833259028087","0.71555645405843","The practice can produce a register of patient with atrial fibrillation","1",1,0.0184583711262092,0.0181627445776459,0.0187539976747725
"W00065","861",2013,"AF 1","AF1","38",2246,"0.016918967052538","0.62725283883738","The practice can produce a register of patient with atrial fibrillation","1",1,0.0191697038112164,0.0188573684030802,0.0194820392193526
"W00076","861",2011,"AF 1","AF1","178",9414,"0.01890800934778","0.81357114388202","The practice can produce a register of patient with atrial fibrillation","1",1,0.017747038441202,0.0174388542991394,0.0180552225832645
"W00076","861",2012,"AF 1","AF1","182",9485,"0.019188191881919","0.78904275750531","The practice can produce a register of patient with atrial fibrillation","1",1,0.0184583711262092,0.0181627445776459,0.0187539976747725
"W00076","861",2013,"AF 1","AF1","185",9604,"0.019262807163682","0.76091259506199","The practice can produce a register of patient with atrial fibrillation","1",1,0.0191697038112164,0.0188573684030802,0.0194820392193526
"W00095",NA,2010,"AF 1","AF1","19",1259,"0.0150913","0.613937","The practice can produce a register of patient with atrial fibrillation","1",1,0.017035705756195,0.0166888619371845,0.0173825495752054
"W00095","861",2011,"AF 1","AF1","28",1677,"0.016696481812761","0.68692706257473","The practice can produce a register of patient with atrial fibrillation","1",1,0.017747038441202,0.0174388542991394,0.0180552225832645
"W00095","861",2012,"AF 1","AF1","38",1905,"0.01994750656168","0.82583645001516","The practice can produce a register of patient with atrial fibrillation","1",1,0.0184583711262092,0.0181627445776459,0.0187539976747725
"W00095","861",2013,"AF 1","AF1","37",2033,"0.018199704869651","0.70382331492864","The practice can produce a register of patient with atrial fibrillation","1",1,0.0191697038112164,0.0188573684030802,0.0194820392193526
"W91001","271",2007,"AF 1","AF1","107",7597,"0.0140845","0.625525","The practice can produce a register of patient with atrial fibrillation","1",1,0.0149017077011735,0.0143515125504608,0.0154519028518862
"W91001","271",2008,"AF 1","AF1","158",9250,"0.0170811","0.808571","The practice can produce a register of patient with atrial fibrillation","1",1,0.0156130403861807,0.015139575230113,0.0160865055422484
"W91001","271",2009,"AF 1","AF1","167",9229,"0.0180951","0.830091","The practice can produce a register of patient with atrial fibrillation","1",1,0.0163243730711877,0.015920189246281,0.0167285568960944
"W91001","271",2010,"AF 1","AF1","169",9320,"0.018133","0.803568","The practice can produce a register of patient with atrial fibrillation","1",1,0.017035705756195,0.0166888619371845,0.0173825495752054
"W91002","269",2007,"AF 1","AF1","183",9803,"0.0186678","0.877942","The practice can produce a register of patient with atrial fibrillation","1",1,0.0149017077011735,0.0143515125504608,0.0154519028518862
"W91002","269",2008,"AF 1","AF1","175",9866,"0.0177377","0.840296","The practice can produce a register of patient with atrial fibrillation","1",1,0.0156130403861807,0.015139575230113,0.0160865055422484
"W91002","269",2009,"AF 1","AF1","195",9951,"0.019596","0.887058","The practice can produce a register of patient with atrial fibrillation","1",1,0.0163243730711877,0.015920189246281,0.0167285568960944
"W91002","269",2010,"AF 1","AF1","189",10095,"0.0187221","0.832052","The practice can produce a register of patient with atrial fibrillation","1",1,0.017035705756195,0.0166888619371845,0.0173825495752054
"W91002","861",2011,"AF 1","AF1","197",10213,"0.019289141290512","0.8330011956955","The practice can produce a register of patient with atrial fibrillation","1",1,0.017747038441202,0.0174388542991394,0.0180552225832645
"W91002","861",2012,"AF 1","AF1","201",10354,"0.019412787328569","0.80056605680784","The practice can produce a register of patient with atrial fibrillation","1",1,0.0184583711262092,0.0181627445776459,0.0187539976747725
"W91002","861",2013,"AF 1","AF1","210",10414,"0.020165162281544","0.80852172101261","The practice can produce a register of patient with atrial fibrillation","1",1,0.0191697038112164,0.0188573684030802,0.0194820392193526
"W91003","269",2007,"AF 1","AF1","303",16038,"0.0188926","0.885753","The practice can produce a register of patient with atrial fibrillation","1",1,0.0149017077011735,0.0143515125504608,0.0154519028518862
"W91003","269",2008,"AF 1","AF1","305",16247,"0.0187727","0.880493","The practice can produce a register of patient with atrial fibrillation","1",1,0.0156130403861807,0.015139575230113,0.0160865055422484
"W91003","269",2009,"AF 1","AF1","319",16139,"0.0197658","0.892021","The practice can produce a register of patient with atrial fibrillation","1",1,0.0163243730711877,0.015920189246281,0.0167285568960944
"W91003","269",2010,"AF 1","AF1","317",16079,"0.0197152","0.869407","The practice can produce a register of patient with atrial fibrillation","1",1,0.017035705756195,0.0166888619371845,0.0173825495752054
"W91003","861",2011,"AF 1","AF1","326",16236,"0.020078837152008","0.86229573535273","The practice can produce a register of patient with atrial fibrillation","1",1,0.017747038441202,0.0174388542991394,0.0180552225832645
"W91003","861",2012,"AF 1","AF1","341",16393,"0.020801561642164","0.86101283735975","The practice can produce a register of patient with atrial fibrillation","1",1,0.0184583711262092,0.0181627445776459,0.0187539976747725
"W91003","861",2013,"AF 1","AF1","361",16250,"0.022215384615385","0.88071674132722","The practice can produce a register of patient with atrial fibrillation","1",1,0.0191697038112164,0.0188573684030802,0.0194820392193526
"W91004","270",2007,"AF 1","AF1","296",14785,"0.0200203","0.91534","The practice can produce a register of patient with atrial fibrillation","1",1,0.0149017077011735,0.0143515125504608,0.0154519028518862
"W91004","270",2008,"AF 1","AF1","301",14786,"0.0203571","0.924828","The practice can produce a register of patient with atrial fibrillation","1",1,0.0156130403861807,0.015139575230113,0.0160865055422484
"W91004","270",2009,"AF 1","AF1","307",14815,"0.0207222","0.916336","The practice can produce a register of patient with atrial fibrillation","1",1,0.0163243730711877,0.015920189246281,0.0167285568960944
"W91004","270",2010,"AF 1","AF1","300",14779,"0.0202991","0.887936","The practice can produce a register of patient with atrial fibrillation","1",1,0.017035705756195,0.0166888619371845,0.0173825495752054
"W91004","861",2011,"AF 1","AF1","318",14664,"0.021685761047463","0.90723395775209","The practice can produce a register of patient with atrial fibrillation","1",1,0.017747038441202,0.0174388542991394,0.0180552225832645
"W91004","861",2012,"AF 1","AF1","335",14706,"0.022779817761458","0.9153947235419","The practice can produce a register of patient with atrial fibrillation","1",1,0.0184583711262092,0.0181627445776459,0.0187539976747725
"W91004","861",2013,"AF 1","AF1","349",14628,"0.023858353841947","0.91999166579852","The practice can produce a register of patient with atrial fibrillation","1",1,0.0191697038112164,0.0188573684030802,0.0194820392193526
"W91005","271",2007,"AF 1","AF1","153",9984,"0.0153245","0.713016","The practice can produce a register of patient with atrial fibrillation","1",1,0.0149017077011735,0.0143515125504608,0.0154519028518862
"W91005","271",2008,"AF 1","AF1","138",9413,"0.0146606","0.65734","The practice can produce a register of patient with atrial fibrillation","1",1,0.0156130403861807,0.015139575230113,0.0160865055422484
"W91005","271",2009,"AF 1","AF1","140",9314,"0.0150311","0.645693","The practice can produce a register of patient with atrial fibrillation","1",1,0.0163243730711877,0.015920189246281,0.0167285568960944
"W91005","271",2010,"AF 1","AF1","138",9241,"0.0149334","0.601715","The practice can produce a register of patient with atrial fibrillation","1",1,0.017035705756195,0.0166888619371845,0.0173825495752054
"W91005","861",2011,"AF 1","AF1","143",9293,"0.015387926396212","0.59854523714627","The practice can produce a register of patient with atrial fibrillation","1",1,0.017747038441202,0.0174388542991394,0.0180552225832645
"W91005","861",2012,"AF 1","AF1","159",9444,"0.016836086404066","0.65591832608915","The practice can produce a register of patient with atrial fibrillation","1",1,0.0184583711262092,0.0181627445776459,0.0187539976747725
"W91005","861",2013,"AF 1","AF1","162",9495,"0.017061611374408","0.63694134805709","The practice can produce a register of patient with atrial fibrillation","1",1,0.0191697038112164,0.0188573684030802,0.0194820392193526
"W91006","270",2007,"AF 1","AF1","95",7327,"0.0129657","0.540377","The practice can produce a register of patient with atrial fibrillation","1",1,0.0149017077011735,0.0143515125504608,0.0154519028518862
